,age,marital,education,default,housing,loan,contact,month,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,y,pcall,age2,young_student,rejecter,old_retired,is_mon_fri
0,56,1,0,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,256,0,0,0,1
1,57,1,1,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,289,0,1,0,1
2,37,1,1,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,9,0,1,0,1
3,40,1,0,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,0,0,0,0,1
4,56,1,1,0,0,1,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,256,0,1,0,1
5,45,1,0,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,25,0,1,0,1
6,59,1,1,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,361,0,0,0,1
7,41,1,0,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,1,0,1,0,1
8,24,0,1,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,256,0,0,0,1
9,25,0,1,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,225,0,1,0,1
10,41,1,0,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,1,0,1,0,1
11,25,0,1,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,225,0,1,0,1
12,29,0,1,0,0,1,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,121,0,1,0,1
13,57,1,0,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,289,0,0,0,1
14,35,1,0,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,25,0,1,0,1
15,54,1,0,1,1,1,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,196,0,0,0,1
16,35,1,0,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,25,0,1,0,1
17,46,1,0,1,1,1,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,36,0,1,0,1
18,50,1,0,0,1,1,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,100,0,1,0,1
19,39,0,0,1,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,1,0,0,0,1
20,30,1,1,0,0,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,100,0,0,0,1
21,55,1,0,1,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,225,0,1,0,1
22,55,0,1,0,1,0,1,9.52995706295831,1,0,0,0,1.1,93.994,-36.4,0,0,225,0,0,0,1
